diamond_low_light,src/icons/LL_0136_diamond_i_purple.svg,,,
envelope,src/icons/0137_envelope_a.svg,themeable ,,
envelopeFill,src/icons/0137_envelope_a_fill.svg,themeable ,,
allergy,src/icons/0138_circleLines_a.svg,themeable ,,
phoneDown,src/icons/0139_phoneDown_a.svg,themeable ,,
phone,src/icons/0139_phone_a.svg,themeable ,,
panelLeft,src/icons/0140_rectangleLeftArrow_a.svg,themeable ,bi-directional,
panelRight,src/icons/0141_rectangleRightArrow_a.svg,themeable ,bi-directional,
tag,src/icons/0142_pointedRectangle_a.svg,themeable ,bi-directional,
iPass,src/icons/0143_personCurvedArrow_a.svg,themeable ,bi-directional,
scratchPad,src/icons/0144_openBox_a.svg,themeable ,,
pharmacyReview,src/icons/0145_roundRectangleLinePlus_a.svg,themeable ,,
pharmacyReject,src/icons/0146_roundRectangleLinePlusCancel_a.svg,,,
pharmacyReject_low_light,src/icons/LL_0146_roundRectangleLinePlusCancel_a.svg,,,
busy,src/icons/0147_circle_i_heavy.svg,themeable ,,
unavailable,src/icons/0147_circle_i_light.svg,themeable ,,
implant,src/icons/0148_pointedLine_a.svg,themeable ,,
protocol,src/icons/0149_linesThreeSquares_a.svg,themeable ,,
videoCamera,src/icons/0150_videoCamera_a.svg,themeable ,bi-directional,
videoCameraDisabled,src/icons/0150_videoCamera_i_slash.svg,themeable ,bi-directional,
noSignal,src/icons/0151_wifiCircleLine_i.svg,themeable ,bi-directional,
undo,src/icons/0152_circleArrowLeft_a.svg,themeable ,,
reload,src/icons/0152_circleArrow_a.svg,themeable ,,deprecated
recurringEvent,src/icons/0153_calendarCircleArrow_a.svg,themeable ,,
separate,src/icons/0154_lineTwoArrows_a.svg,themeable ,bi-directional,
merge,src/icons/0155_connectedLinesArrow_a.svg,themeable ,bi-directional,
compose,src/icons/0158_pencilSquare_a.svg,themeable ,,
unread,src/icons/0159_eye_i_slash.svg,themeable ,,
hide,src/icons/0159_eye_a.svg,,,
swap,src/icons/0160_arrowLeftarrowRight_i.svg,themeable ,,
microphone,src/icons/0161_microphone_a.svg,themeable ,,
microphoneDisabled,src/icons/0161_microphone_i_slash.svg,themeable ,,
outgoingCall,src/icons/0162_phoneArrowRight_i.svg,themeable ,,
incomingCall,src/icons/0163_phoneArrowLeft_i.svg,themeable ,,
missedCall,src/icons/0164_phoneDownCurvedArrow_i.svg,themeable ,,
pinDown,src/icons/0165_pinDown_a_on.svg,themeable ,,
pinDiagonal,src/icons/0165_pinDiagonal_a_off.svg,themeable ,,
pause,src/icons/0166_pause_a.svg,themeable ,,
audio,src/icons/0167_speakerCurvedLines_a.svg,themeable ,,
externalLink,src/icons/0168_boxArrowDiagonal_a.svg,themeable ,,
bedRequested,src/icons/0169_bed_a.svg,themeable ,,
bedAssigned,src/icons/0170_checkBed_i_heavyCircleGreen.svg,,,
bedAssigned_low_light,src/icons/LL_0170_checkBed_i_heavyCircleGreen.svg,,,
dischargeComplete,src/icons/0171_checkdoorOpen_i_heavyCircleGreen.svg,,,
dischargeComplete_low_light,src/icons/LL_0171_checkdoorOpen_i_heavyCircleGreen.svg,,,
dischargeComingDue,src/icons/0172_exclamationDoorOpen_i_heavyTriangleYellow.svg,,,
dischargeComingDue_low_light,src/icons/LL_0172_exclamationDoorOpen_i_heavyTriangleYellow.svg,,,
